grid_id,center_lat,center_lon,min_lat,max_lat,min_lon,max_lon
VN_8.04_102.05,8.045,102.045,8.0,8.09,102.0,102.09
VN_8.04_102.14,8.045,102.135,8.0,8.09,102.09,102.18
VN_8.04_102.22,8.045,102.225,8.0,8.09,102.18,102.27
VN_8.04_102.31,8.045,102.315,8.0,8.09,102.27,102.36
VN_8.04_102.41,8.045,102.405,8.0,8.09,102.36,102.45
VN_8.04_102.50,8.045,102.495,8.0,8.09,102.45,102.54
VN_8.04_102.58,8.045,102.585,8.0,8.09,102.54,102.63
VN_8.04_102.67,8.045,102.675,8.0,8.09,102.63,102.72
VN_8.04_102.77,8.045,102.765,8.0,8.09,102.72,102.81
VN_8.04_102.86,8.045,102.855,8.0,8.09,102.81,102.9
VN_8.04_102.94,8.045,102.945,8.0,8.09,102.9,102.99
VN_8.04_103.03,8.045,103.035,8.0,8.09,102.99,103.08
VN_8.04_103.12,8.045,103.125,8.0,8.09,103.08,103.17
VN_8.04_103.22,8.045,103.215,8.0,8.09,103.17,103.26
VN_8.04_103.31,8.045,103.305,8.0,8.09,103.26,103.35
VN_8.04_103.39,8.045,103.395,8.0,8.09,103.35,103.44
VN_8.04_103.48,8.045,103.485,8.0,8.09,103.44,103.53
VN_8.04_103.58,8.045,103.575,8.0,8.09,103.53,103.62
VN_8.04_103.67,8.045,103.665,8.0,8.09,103.62,103.71
VN_8.04_103.75,8.045,103.755,8.0,8.09,103.71,103.8
VN_8.04_103.84,8.045,103.845,8.0,8.09,103.8,103.89
VN_8.04_103.94,8.045,103.935,8.0,8.09,103.89,103.98
VN_8.04_104.03,8.045,104.025,8.0,8.09,103.98,104.07
VN_8.04_104.11,8.045,104.115,8.0,8.09,104.07,104.16
VN_8.04_104.20,8.045,104.205,8.0,8.09,104.16,104.25
VN_8.04_104.30,8.045,104.295,8.0,8.09,104.25,104.34
VN_8.04_104.39,8.045,104.385,8.0,8.09,104.34,104.43
VN_8.04_104.47,8.045,104.475,8.0,8.09,104.43,104.52
VN_8.04_104.56,8.045,104.565,8.0,8.09,104.52,104.61
VN_8.04_104.66,8.045,104.655,8.0,8.09,104.61,104.7
VN_8.04_104.75,8.045,104.745,8.0,8.09,104.7,104.79
VN_8.04_104.83,8.045,104.835,8.0,8.09,104.79,104.88
