grid_id,year,forest_cover_pct,forest_loss_ha,forest_loss_pct_change,avg_temp,total_rainfall_mm,n_dry_days,n_hot_days,temp_anomaly,n_observations,n_species,normalized_richness
VN_10.03_105.73,2009,4.32,1.673266,0.0,27.07,1723.4,147.0,3.0,-0.26,9,5,0.080705
VN_10.03_105.83,2009,3.62,1.220194,0.0,27.07,1723.4,147.0,3.0,-0.24,15,15,0.201072
VN_10.12_105.56,2009,4.37,3.873982,0.0,27.14,1737.2,141.0,4.0,0.01,12,12,0.173879
VN_10.21_103.94,2009,8.41,25.603763,0.0,27.21,2550.6,125.0,0.0,-0.26,3,2,0.053619
VN_10.21_104.03,2009,44.93,148.428242,0.0,27.21,2550.6,125.0,0.0,0.14,3,3,0.080429
VN_10.21_106.00,2009,1.64,0.440093,0.0,27.2,1767.9,152.0,4.0,-0.04,4,1,0.023092
VN_10.21_106.36,2009,13.66,7.041196,0.0,27.1,1869.6,144.0,4.0,-0.08,19,19,0.23572
VN_10.21_106.55,2009,10.96,0.0,0.0,27.2,1995.8,145.0,4.0,0.1,1,1,0.053619
VN_10.21_106.64,2009,1.32,0.616113,0.0,26.99,1562.5,158.0,0.0,-0.1,3,1,0.02681
VN_10.29_104.03,2009,76.48,2.816017,0.0,27.21,2550.6,125.0,0.0,1.26,32,32,0.340142
VN_10.29_104.11,2009,2.7,0.527948,0.0,27.21,2550.6,125.0,0.0,0.21,2,2,0.06766
VN_10.29_106.00,2009,12.13,0.0,0.0,27.2,1767.9,152.0,4.0,-0.18,2,2,0.06766
VN_10.29_106.19,2009,20.63,1.381048,0.0,27.1,1869.6,144.0,4.0,-0.03,3,3,0.080429
VN_10.29_106.72,2009,0.62,0.0,0.0,26.99,1562.5,158.0,0.0,-0.21,3,3,0.080429
VN_10.38_104.03,2009,64.64,4.433377,0.0,26.63,2232.9,127.0,0.0,0.7,53,43,0.400637
VN_10.38_106.36,2009,3.94,0.26389,0.0,27.29,1983.5,138.0,10.0,-0.09,1,1,0.053619
VN_10.38_106.91,2009,18.34,0.175933,0.0,27.28,1916.3,147.0,3.0,-0.17,9,9,0.145269
VN_10.38_107.08,2009,1.68,1.671471,0.0,27.28,1916.3,147.0,3.0,-0.34,3,3,0.080429
VN_10.47_105.56,2009,2.79,0.263805,0.0,27.58,1586.4,155.0,10.0,0.03,1,1,0.053619
VN_10.47_106.64,2009,0.4,0.087937,0.0,27.38,1942.9,144.0,4.0,0.11,1,1,0.053619
VN_10.56_107.44,2009,20.54,61.7149,0.0,26.9,1736.6,163.0,0.0,0.04,4,3,0.069277
VN_10.65_106.64,2009,1.01,0.263654,0.0,27.44,1908.2,139.0,6.0,0.07,12,12,0.173879
VN_10.74_105.11,2009,9.02,1.669437,0.0,27.58,1589.4,146.0,8.0,-0.28,19,18,0.223313
VN_10.74_105.47,2009,5.11,1.405961,0.0,27.78,1589.0,154.0,24.0,-0.11,14,14,0.192139
VN_10.74_105.56,2009,3.34,2.811614,0.0,27.78,1589.0,154.0,24.0,-0.18,61,61,0.549321
